GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kt-tutorial,com.kt.tutorial.config,SecurityConfig,61,0,0,0,11,0,7,0,7,0
kt-tutorial,com.kt.tutorial.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
kt-tutorial,com.kt.tutorial.security,CustomUserDetailsService,24,0,0,0,4,0,3,0,3,0
kt-tutorial,com.kt.tutorial.security,JwtTokenProvider,91,4,0,0,31,1,5,1,5,1
kt-tutorial,com.kt.tutorial.security,JwtAuthenticationFilter,46,35,6,2,9,10,4,4,0,4
kt-tutorial,com.kt.tutorial.security,UserPrincipal,29,35,0,0,9,8,10,2,10,2
kt-tutorial,com.kt.tutorial.model,User,292,85,66,0,0,34,38,22,5,22
kt-tutorial,com.kt.tutorial.model,Project,499,77,110,0,15,31,67,21,12,21
kt-tutorial,com.kt.tutorial.model,Comment,279,0,54,0,7,0,44,0,17,0
kt-tutorial,com.kt.tutorial.model,ProjectStage,0,39,0,0,0,7,0,1,0,1
kt-tutorial,com.kt.tutorial.service,CommentService,157,0,2,0,32,0,10,0,9,0
kt-tutorial,com.kt.tutorial.service,UserService,5,92,0,2,0,19,1,4,1,3
kt-tutorial,com.kt.tutorial.service,ProjectService,75,243,3,11,15,56,7,15,4,11
kt-tutorial,com.kt.tutorial.controller,AuthController,0,18,0,0,0,3,0,3,0,3
kt-tutorial,com.kt.tutorial.controller,ProjectController,0,40,0,0,0,7,0,6,0,6
kt-tutorial,com.kt.tutorial.controller,CommentController,32,0,0,0,6,0,5,0,5,0
kt-tutorial,com.kt.tutorial.dto,CommentDTO,317,0,62,0,8,0,50,0,19,0
kt-tutorial,com.kt.tutorial.dto,ProjectDTO,397,80,94,0,0,12,51,23,4,23
kt-tutorial,com.kt.tutorial,KtTutorialApplication,5,3,0,0,2,1,1,1,1,1
kt-tutorial,com.kt.tutorial.dto.auth,LoginRequest,98,17,22,0,0,3,15,5,4,5
kt-tutorial,com.kt.tutorial.dto.auth,LoginResponse,165,31,38,0,0,5,23,9,4,9
